grid_id,Acraea andromacha,Acraea terpsicore,n_species
11365,1,6,2
11366,1,7,2
11367,0,2,1
11368,1,0,1
11369,0,6,1
11371,3,1,2
11373,1,0,1
11382,0,1,1
11446,0,3,1
11447,0,2,1
11448,1,2,2
11454,1,1,2
11470,0,1,1
11474,2,2,2
11486,0,2,1
11489,1,0,1
11527,0,1,1
11547,0,1,1
11548,0,3,1
11552,0,2,1
11558,0,4,1
11559,0,3,1
11577,2,2,2
11578,1,2,2
11579,0,1,1
11580,0,1,1
11587,1,1,2
11592,0,2,1
11593,0,3,1
11607,2,2,2
11608,1,1,2
11650,0,3,1
11659,1,15,2
11660,1,1,2
11661,1,2,2
11676,1,1,2
11677,0,4,1
11678,1,8,2
11679,7,16,2
11680,13,6,2
11696,0,2,1
11773,2,4,2
11776,0,2,1
11777,0,4,1
11778,0,4,1
11779,0,3,1
11790,0,1,1
11791,0,1,1
11867,0,1,1
11872,0,6,1
11873,3,17,2
11874,0,3,1
11877,0,1,1
11887,1,1,2
11936,0,1,1
11964,0,2,1
11965,1,1,2
11967,0,1,1
12028,3,2,2
12053,0,2,1
12054,0,9,1
12055,1,1,2
12056,0,2,1
12069,0,1,1
12080,0,3,1
12115,0,1,1
12118,1,0,1
12161,0,2,1
12190,0,1,1
12195,0,2,1
12216,2,7,2
12236,2,2,2
12238,0,1,1
12239,0,1,1
12271,0,2,1
12292,0,1,1
12293,1,1,2
12304,0,1,1
12309,0,1,1
12312,1,1,2
12314,0,2,1
12321,0,2,1
12324,0,1,1
12343,0,2,1
12365,0,1,1
12385,1,2,2
12388,0,1,1
12398,0,6,1
12416,0,2,1
12418,0,3,1
12440,0,1,1
12441,0,3,1
12570,0,2,1
12579,1,0,1
12584,0,1,1
12610,0,3,1
12619,0,1,1
12633,0,1,1
12634,0,1,1
12719,3,12,2
12720,0,12,1
12768,0,4,1
12769,1,5,2
12778,1,2,2
12787,0,3,1
12836,1,1,2
12837,0,1,1
12846,0,2,1
12859,0,1,1
12870,0,1,1
12879,0,3,1
12896,0,1,1
12897,0,2,1
12898,0,2,1
12922,0,1,1
12936,0,3,1
12941,0,3,1
12973,0,1,1
12974,1,0,1
13010,0,1,1
13011,0,1,1
13013,0,4,1
13014,0,2,1
13016,0,3,1
13018,0,1,1
13021,0,1,1
13040,1,3,2
13046,0,2,1
13051,0,2,1
13052,0,1,1
13054,0,1,1
13057,0,1,1
13079,0,1,1
13087,1,4,2
13088,6,44,2
13097,0,3,1
13115,0,2,1
13119,0,1,1
13132,0,1,1
13137,0,1,1
13175,0,1,1
13214,0,1,1
13262,0,2,1
13263,0,2,1
