grid_id,Acraea andromacha,Acraea terpsicore,Afrohybanthus enneaspermus,Adenia heterophylla,n_species
11447,0,2,0,0,4
11448,1,2,0,0,4
11454,1,1,0,0,4
11456,0,0,1,0,4
11459,0,0,2,0,4
11470,0,1,0,0,4
11474,2,2,0,0,4
11477,0,0,0,1,4
11486,0,2,0,0,4
11489,1,0,0,0,4
11527,0,1,0,0,4
11547,0,1,0,0,4
11548,0,3,0,0,4
11552,0,2,0,0,4
11558,0,4,0,0,4
11559,0,3,0,0,4
11574,0,0,1,0,4
11577,2,2,1,0,4
11578,1,2,0,0,4
11579,0,1,0,1,4
11580,0,1,0,1,4
11587,1,1,0,0,4
11592,0,2,0,0,4
11593,0,3,0,0,4
11607,2,2,0,0,4
11608,1,1,0,0,4
11650,0,3,0,0,4
11659,1,15,0,0,4
11660,1,1,0,0,4
11661,1,2,0,0,4
11676,1,1,0,0,4
11677,0,4,0,0,4
11678,1,8,1,0,4
11679,7,16,3,0,4
11680,13,6,0,1,4
11681,0,0,0,1,4
11696,0,2,0,0,4
11721,0,0,1,0,4
11731,0,0,2,0,4
11732,0,0,1,0,4
11773,2,4,0,0,4
11776,0,2,0,0,4
11777,0,4,3,0,4
11778,0,4,5,1,4
11779,0,3,0,1,4
11790,0,1,0,0,4
11791,0,1,0,0,4
11793,0,0,1,0,4
11826,0,0,1,0,4
11830,0,0,2,0,4
11867,0,1,0,0,4
11872,0,6,0,0,4
11873,3,17,0,9,4
11874,0,3,1,5,4
11877,0,1,0,0,4
11887,1,1,0,0,4
11921,0,0,5,0,4
11924,0,0,1,0,4
11925,0,0,1,0,4
11926,0,0,1,0,4
11928,0,0,3,0,4
11929,0,0,3,0,4
11936,0,1,0,0,4
11964,0,2,0,0,4
11965,1,1,0,0,4
11966,0,0,1,3,4
11967,0,1,0,0,4
11989,0,0,1,0,4
12011,0,0,12,0,4
12017,0,0,5,0,4
12018,0,0,12,0,4
12028,3,2,0,0,4
12053,0,2,0,0,4
12054,0,9,0,0,4
12055,1,1,0,3,4
12056,0,2,0,1,4
12069,0,1,0,0,4
12080,0,3,0,0,4
12102,0,0,3,0,4
12103,0,0,3,0,4
12104,0,0,5,0,4
12106,0,0,2,0,4
12107,0,0,2,0,4
12115,0,1,0,0,4
12118,1,0,0,0,4
12140,0,0,0,1,4
12161,0,2,0,0,4
12181,0,0,3,0,4
12182,0,0,2,0,4
12183,0,0,2,0,4
12190,0,1,0,0,4
12195,0,2,0,0,4
12216,2,7,0,0,4
12218,0,0,0,1,4
12236,2,2,0,1,4
12238,0,1,0,0,4
12239,0,1,2,0,4
12255,0,0,1,0,4
12271,0,2,0,0,4
12292,0,1,0,0,4
12293,1,1,1,0,4
12304,0,1,0,0,4
12309,0,1,0,0,4
12312,1,1,0,0,4
12314,0,2,0,0,4
12321,0,2,0,0,4
12324,0,1,0,0,4
12329,0,0,2,0,4
12330,0,0,2,0,4
12343,0,2,0,0,4
12365,0,1,0,0,4
12368,0,0,0,1,4
12385,1,2,0,0,4
12388,0,1,0,0,4
12391,0,0,1,0,4
12398,0,6,0,0,4
12400,0,0,1,0,4
12404,0,0,1,0,4
12407,0,0,2,0,4
12416,0,2,0,0,4
12418,0,3,0,0,4
12440,0,1,0,0,4
12441,0,3,0,0,4
12442,0,0,3,0,4
12466,0,0,1,0,4
12477,0,0,3,0,4
12478,0,0,3,0,4
12479,0,0,1,0,4
12481,0,0,1,0,4
12509,0,0,1,0,4
12570,0,2,1,0,4
12579,1,0,0,0,4
12584,0,1,0,0,4
12610,0,3,5,0,4
12619,0,1,0,0,4
12633,0,1,0,0,4
12634,0,1,0,0,4
12641,0,0,0,1,4
12675,0,0,1,0,4
